export-world data (NetLogo 6.3.0)
Virus on a Network Extended.nlogo
06/04/2026 14:00:00:000 +0000

RANDOM STATE
0 0 -1 110 0.0 false 0 0 0 0 0 0 0 0 0

GLOBALS
min-pxcor,max-pxcor,min-pycor,max-pycor,perspective,subject,nextIndex,directed-links,ticks,average-node-degree,gain-resistance-chance,initial-outbreak-size,number-of-nodes,recovery-chance,virus-check-frequency,virus-spread-chance
-20,20,-20,20,0,nobody,3000,"""UNDIRECTED""",0,6.0,5,10,3000,5,1,10

TURTLES
who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,infected?,resistant?,virus-check-timer,infected-chance
0,105,0,3.769787,5.942765,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
1,105,0,7.296335,3.355316,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
2,105,0,5.858830,1.839620,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
3,105,0,5.628882,5.283768,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
4,15,0,6.344225,5.300803,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",true,false,0,0
5,105,0,6.145598,4.098075,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
6,105,0,4.679284,4.022207,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
7,105,0,3.558860,4.228701,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
8,105,0,7.754680,3.258010,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
9,105,0,7.035308,4.434586,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
10,105,0,5.062641,4.967894,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
11,105,0,5.927298,4.335863,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
12,105,0,6.045202,2.083245,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
13,105,0,8.728060,4.072986,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
14,105,0,5.521916,4.141875,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
15,105,0,6.054124,4.701067,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
16,105,0,6.708456,2.161573,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
17,105,0,5.892440,4.203919,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
18,105,0,7.823757,7.318931,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
19,105,0,5.837249,4.317285,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
20,105,0,4.445733,3.054132,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
21,105,0,6.614582,2.252310,"""circle""",,9.9,{all-turtles},false,1,1,"""up""",false,false,0,0
